id,labels,nombre,categoria,marca,precio_unitario,local_importado
0,Producto,Popular PepsiCo,Alimentos,PepsiCo,31.24,True
1,Producto,Investment Adidas,Deportes,Adidas,257.36,True
2,Producto,Require Nike,Deportes,Nike,232.88,False
3,Producto,Me Bridgestone,Automotriz,Bridgestone,520.87,True
4,Producto,So Puma,Deportes,Puma,124.15,True
5,Producto,National Apple,Electrónica,Apple,962.88,True
6,Producto,Approach Adidas,Deportes,Adidas,98.35,True
7,Producto,Author Nestlé,Alimentos,Nestlé,1.97,True
8,Producto,Trade Apple,Electrónica,Apple,1648.18,True
9,Producto,Like Hamilton Beach,Hogar,Hamilton Beach,424.1,False
10,Producto,Control Castrol,Automotriz,Castrol,289.16,True
11,Producto,Color Puma,Deportes,Puma,281.63,False
12,Producto,Vote Reebok,Deportes,Reebok,58.47,True
13,Producto,When Puma,Deportes,Puma,298.43,True
14,Producto,Hope Samsung,Electrónica,Samsung,1971.39,True
15,Producto,Against Kellogg's,Alimentos,Kellogg's,24.47,True
16,Producto,Defense Nike,Deportes,Nike,26.45,False
17,Producto,Hit Apple,Electrónica,Apple,959.02,True
18,Producto,Important T-Fal,Hogar,T-Fal,295.27,True
19,Producto,Rate Hamilton Beach,Hogar,Hamilton Beach,488.41,True
20,Producto,True Hamilton Beach,Hogar,Hamilton Beach,239.62,False
21,Producto,Issue Bridgestone,Automotriz,Bridgestone,70.8,True
22,Producto,One Michelin,Automotriz,Michelin,113.24,True
23,Producto,Similar Goodyear,Automotriz,Goodyear,181.46,False
24,Producto,Serious Castrol,Automotriz,Castrol,55.89,False
25,Producto,Difference Michelin,Automotriz,Michelin,607.56,True
26,Producto,Crime Unilever,Alimentos,Unilever,6.58,True
27,Producto,By Adidas,Deportes,Adidas,115.15,False
28,Producto,Spring Sony,Electrónica,Sony,1772.04,True
29,Producto,Million Reebok,Deportes,Reebok,251.68,False
30,Producto,Star Black+Decker,Hogar,Black+Decker,484.51,True
31,Producto,Hot Bridgestone,Automotriz,Bridgestone,704.39,True
32,Producto,Expect T-Fal,Hogar,T-Fal,137.1,False
33,Producto,Important Adidas,Deportes,Adidas,32.87,False
34,Producto,Growth Reebok,Deportes,Reebok,150.53,False
35,Producto,Firm Unilever,Alimentos,Unilever,6.63,False
36,Producto,Maintain Adidas,Deportes,Adidas,20.37,True
37,Producto,Word Bridgestone,Automotriz,Bridgestone,578.02,True
38,Producto,Treatment Puma,Deportes,Puma,295.01,True
39,Producto,Nice Adidas,Deportes,Adidas,67.65,True
40,Producto,Trial Castrol,Automotriz,Castrol,222.48,False
41,Producto,Phone Sony,Electrónica,Sony,211.97,False
42,Producto,Similar Xiaomi,Electrónica,Xiaomi,1002.28,True
43,Producto,Education Nike,Deportes,Nike,44.99,False
44,Producto,Short PepsiCo,Alimentos,PepsiCo,28.37,True
45,Producto,Ready Castrol,Automotriz,Castrol,119.21,True
