start_id,start_label,type,end_id,end_label,cantidad,pasillo,estanteria
2,Almacen,ALMACENA,2312,Producto,16,P-7,E-3
3,Almacen,ALMACENA,460,Producto,183,P-5,E-5
7,Almacen,ALMACENA,153,Producto,118,P-1,E-20
2,Almacen,ALMACENA,754,Producto,147,P-1,E-7
4,Almacen,ALMACENA,682,Producto,126,P-6,E-17
5,Almacen,ALMACENA,65,Producto,147,P-6,E-12
0,Almacen,ALMACENA,2372,Producto,57,P-10,E-15
6,Almacen,ALMACENA,2997,Producto,134,P-6,E-7
8,Almacen,ALMACENA,1358,Producto,151,P-4,E-12
4,Almacen,ALMACENA,712,Producto,73,P-1,E-17
8,Almacen,ALMACENA,1937,Producto,141,P-8,E-16
0,Almacen,ALMACENA,2924,Producto,181,P-6,E-20
0,Almacen,ALMACENA,2428,Producto,121,P-9,E-4
3,Almacen,ALMACENA,373,Producto,13,P-9,E-19
0,Almacen,ALMACENA,102,Producto,17,P-1,E-7
6,Almacen,ALMACENA,1071,Producto,58,P-4,E-14
6,Almacen,ALMACENA,2334,Producto,63,P-4,E-3
5,Almacen,ALMACENA,1752,Producto,3,P-9,E-3
3,Almacen,ALMACENA,1177,Producto,60,P-2,E-2
1,Almacen,ALMACENA,601,Producto,186,P-4,E-8
5,Almacen,ALMACENA,2566,Producto,200,P-10,E-16
0,Almacen,ALMACENA,2948,Producto,72,P-7,E-14
5,Almacen,ALMACENA,2787,Producto,192,P-5,E-8
1,Almacen,ALMACENA,2538,Producto,15,P-5,E-16
3,Almacen,ALMACENA,312,Producto,149,P-1,E-15
8,Almacen,ALMACENA,1630,Producto,14,P-1,E-6
8,Almacen,ALMACENA,1637,Producto,85,P-9,E-13
0,Almacen,ALMACENA,119,Producto,91,P-7,E-1
0,Almacen,ALMACENA,1905,Producto,155,P-1,E-17
1,Almacen,ALMACENA,1987,Producto,68,P-5,E-18
7,Almacen,ALMACENA,1862,Producto,57,P-6,E-12
1,Almacen,ALMACENA,599,Producto,146,P-6,E-9
1,Almacen,ALMACENA,2080,Producto,157,P-1,E-11
7,Almacen,ALMACENA,1262,Producto,7,P-9,E-9
3,Almacen,ALMACENA,411,Producto,108,P-5,E-19
5,Almacen,ALMACENA,771,Producto,169,P-10,E-15
2,Almacen,ALMACENA,512,Producto,64,P-5,E-4
0,Almacen,ALMACENA,2504,Producto,160,P-5,E-12
7,Almacen,ALMACENA,1081,Producto,11,P-4,E-19
3,Almacen,ALMACENA,1915,Producto,194,P-6,E-16
8,Almacen,ALMACENA,2984,Producto,88,P-3,E-2
0,Almacen,ALMACENA,817,Producto,130,P-8,E-15
9,Almacen,ALMACENA,2476,Producto,98,P-3,E-5
4,Almacen,ALMACENA,463,Producto,31,P-4,E-16
1,Almacen,ALMACENA,1286,Producto,136,P-4,E-10
3,Almacen,ALMACENA,364,Producto,76,P-2,E-11
0,Almacen,ALMACENA,1904,Producto,143,P-3,E-14
1,Almacen,ALMACENA,2907,Producto,38,P-1,E-8
5,Almacen,ALMACENA,1708,Producto,200,P-7,E-12
8,Almacen,ALMACENA,2834,Producto,16,P-1,E-14
7,Almacen,ALMACENA,974,Producto,161,P-5,E-7
