start_id,start_label,type,end_id,end_label,ultimo_envio,cantidad_envios,frecuencia_envios
5,Almacen,SUMINISTRA,2,Sucursal,2025-01-06,39,Diario
5,Almacen,SUMINISTRA,11,Sucursal,2025-01-19,193,Mensual
4,Almacen,SUMINISTRA,12,Sucursal,2025-01-09,88,Mensual
2,Almacen,SUMINISTRA,4,Sucursal,2025-01-30,30,Trimestral
8,Almacen,SUMINISTRA,11,Sucursal,2025-01-26,100,Trimestral
3,Almacen,SUMINISTRA,5,Sucursal,2025-02-24,102,Mensual
4,Almacen,SUMINISTRA,14,Sucursal,2025-01-16,245,Semanal
7,Almacen,SUMINISTRA,0,Sucursal,2025-02-23,236,Trimestral
6,Almacen,SUMINISTRA,14,Sucursal,2025-01-10,210,Semanal
7,Almacen,SUMINISTRA,0,Sucursal,2025-02-02,113,Semanal
1,Almacen,SUMINISTRA,7,Sucursal,2025-02-08,94,Trimestral
9,Almacen,SUMINISTRA,2,Sucursal,2025-01-01,90,Diario
0,Almacen,SUMINISTRA,6,Sucursal,2025-01-09,89,Mensual
9,Almacen,SUMINISTRA,10,Sucursal,2025-01-17,142,Trimestral
7,Almacen,SUMINISTRA,7,Sucursal,2025-01-25,246,Diario
6,Almacen,SUMINISTRA,12,Sucursal,2025-01-13,97,Trimestral
0,Almacen,SUMINISTRA,12,Sucursal,2025-01-22,275,Mensual
3,Almacen,SUMINISTRA,2,Sucursal,2025-02-06,82,Diario
7,Almacen,SUMINISTRA,0,Sucursal,2025-01-07,54,Semanal
5,Almacen,SUMINISTRA,6,Sucursal,2025-01-16,259,Diario
3,Almacen,SUMINISTRA,9,Sucursal,2025-02-12,46,Mensual
4,Almacen,SUMINISTRA,8,Sucursal,2025-01-10,170,Mensual
6,Almacen,SUMINISTRA,10,Sucursal,2025-01-14,119,Mensual
1,Almacen,SUMINISTRA,12,Sucursal,2025-01-06,37,Semanal
3,Almacen,SUMINISTRA,1,Sucursal,2025-02-17,160,Trimestral
6,Almacen,SUMINISTRA,7,Sucursal,2025-02-02,106,Mensual
5,Almacen,SUMINISTRA,7,Sucursal,2025-01-04,33,Mensual
5,Almacen,SUMINISTRA,9,Sucursal,2025-01-13,281,Diario
0,Almacen,SUMINISTRA,2,Sucursal,2025-01-28,222,Diario
9,Almacen,SUMINISTRA,12,Sucursal,2025-02-06,71,Trimestral
3,Almacen,SUMINISTRA,5,Sucursal,2025-02-24,205,Trimestral
5,Almacen,SUMINISTRA,3,Sucursal,2025-01-27,112,Semanal
3,Almacen,SUMINISTRA,11,Sucursal,2025-01-01,269,Diario
0,Almacen,SUMINISTRA,5,Sucursal,2025-02-23,216,Mensual
2,Almacen,SUMINISTRA,12,Sucursal,2025-01-14,292,Diario
1,Almacen,SUMINISTRA,4,Sucursal,2025-01-28,105,Mensual
0,Almacen,SUMINISTRA,11,Sucursal,2025-01-22,168,Mensual
4,Almacen,SUMINISTRA,9,Sucursal,2025-02-25,69,Diario
2,Almacen,SUMINISTRA,4,Sucursal,2025-01-03,114,Mensual
8,Almacen,SUMINISTRA,4,Sucursal,2025-02-13,114,Mensual
3,Almacen,SUMINISTRA,11,Sucursal,2025-01-23,277,Mensual
6,Almacen,SUMINISTRA,1,Sucursal,2025-02-18,25,Trimestral
1,Almacen,SUMINISTRA,5,Sucursal,2025-01-14,285,Trimestral
0,Almacen,SUMINISTRA,13,Sucursal,2025-02-23,176,Mensual
2,Almacen,SUMINISTRA,0,Sucursal,2025-01-31,229,Mensual
6,Almacen,SUMINISTRA,10,Sucursal,2025-01-09,27,Trimestral
4,Almacen,SUMINISTRA,4,Sucursal,2025-02-25,38,Mensual
3,Almacen,SUMINISTRA,3,Sucursal,2025-01-10,208,Diario
7,Almacen,SUMINISTRA,3,Sucursal,2025-02-22,245,Diario
5,Almacen,SUMINISTRA,8,Sucursal,2025-01-09,168,Semanal
7,Almacen,SUMINISTRA,12,Sucursal,2025-02-11,124,Semanal
6,Almacen,SUMINISTRA,1,Sucursal,2025-02-21,107,Diario
2,Almacen,SUMINISTRA,11,Sucursal,2025-01-28,56,Diario
7,Almacen,SUMINISTRA,7,Sucursal,2025-01-01,215,Trimestral
3,Almacen,SUMINISTRA,3,Sucursal,2025-01-04,141,Mensual
9,Almacen,SUMINISTRA,5,Sucursal,2025-01-14,182,Trimestral
9,Almacen,SUMINISTRA,4,Sucursal,2025-01-31,39,Semanal
7,Almacen,SUMINISTRA,10,Sucursal,2025-01-08,195,Mensual
5,Almacen,SUMINISTRA,13,Sucursal,2025-02-05,152,Semanal
0,Almacen,SUMINISTRA,5,Sucursal,2025-02-26,288,Semanal
0,Almacen,SUMINISTRA,1,Sucursal,2025-02-04,24,Semanal
1,Almacen,SUMINISTRA,14,Sucursal,2025-02-19,101,Trimestral
6,Almacen,SUMINISTRA,11,Sucursal,2025-01-29,112,Trimestral
4,Almacen,SUMINISTRA,2,Sucursal,2025-01-24,200,Diario
6,Almacen,SUMINISTRA,7,Sucursal,2025-01-15,122,Trimestral
0,Almacen,SUMINISTRA,13,Sucursal,2025-02-04,198,Trimestral
1,Almacen,SUMINISTRA,0,Sucursal,2025-01-17,106,Mensual
5,Almacen,SUMINISTRA,3,Sucursal,2025-01-19,105,Semanal
2,Almacen,SUMINISTRA,9,Sucursal,2025-01-06,81,Semanal
9,Almacen,SUMINISTRA,12,Sucursal,2025-01-04,162,Diario
5,Almacen,SUMINISTRA,3,Sucursal,2025-02-12,205,Trimestral
0,Almacen,SUMINISTRA,0,Sucursal,2025-01-11,235,Mensual
3,Almacen,SUMINISTRA,2,Sucursal,2025-01-09,73,Diario
1,Almacen,SUMINISTRA,0,Sucursal,2025-01-27,119,Semanal
9,Almacen,SUMINISTRA,1,Sucursal,2025-01-02,243,Semanal
0,Almacen,SUMINISTRA,7,Sucursal,2025-02-14,100,Trimestral
2,Almacen,SUMINISTRA,3,Sucursal,2025-01-25,115,Mensual
5,Almacen,SUMINISTRA,1,Sucursal,2025-02-14,22,Mensual
7,Almacen,SUMINISTRA,6,Sucursal,2025-02-05,242,Semanal
9,Almacen,SUMINISTRA,10,Sucursal,2025-02-17,23,Mensual
3,Almacen,SUMINISTRA,2,Sucursal,2025-02-14,32,Diario
3,Almacen,SUMINISTRA,6,Sucursal,2025-02-01,66,Trimestral
0,Almacen,SUMINISTRA,0,Sucursal,2025-01-27,247,Semanal
3,Almacen,SUMINISTRA,14,Sucursal,2025-01-07,200,Mensual
3,Almacen,SUMINISTRA,13,Sucursal,2025-02-15,202,Diario
3,Almacen,SUMINISTRA,2,Sucursal,2025-01-08,261,Diario
9,Almacen,SUMINISTRA,12,Sucursal,2025-02-18,91,Diario
5,Almacen,SUMINISTRA,7,Sucursal,2025-02-18,172,Mensual
5,Almacen,SUMINISTRA,8,Sucursal,2025-02-25,53,Diario
3,Almacen,SUMINISTRA,8,Sucursal,2025-01-14,30,Mensual
4,Almacen,SUMINISTRA,2,Sucursal,2025-02-24,165,Diario
7,Almacen,SUMINISTRA,6,Sucursal,2025-01-01,57,Semanal
9,Almacen,SUMINISTRA,11,Sucursal,2025-02-20,63,Diario
8,Almacen,SUMINISTRA,13,Sucursal,2025-02-18,30,Diario
0,Almacen,SUMINISTRA,2,Sucursal,2025-01-25,40,Semanal
6,Almacen,SUMINISTRA,0,Sucursal,2025-01-23,21,Trimestral
6,Almacen,SUMINISTRA,13,Sucursal,2025-02-02,140,Mensual
8,Almacen,SUMINISTRA,13,Sucursal,2025-01-17,275,Trimestral
5,Almacen,SUMINISTRA,12,Sucursal,2025-01-10,34,Trimestral
0,Almacen,SUMINISTRA,13,Sucursal,2025-01-02,74,Trimestral
9,Almacen,SUMINISTRA,3,Sucursal,2025-02-21,60,Mensual
